관리건축물대장PK,관리상위건축물대장PK,대장구분코드,시군구코드,법정동코드,번,지,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,생성일자
10251100193122,,1,11710,10100,0001,0000,117103123020,10101,0,00065,00000,20220813
1025114628,,1,11710,10100,0003,0000,000000000000,00000,0,00000,00000,20220813
1025122767,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20250708
102511071,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
102511073,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
102511899,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
102511900,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
102511880,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
102511072,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20250519
102511881,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
102511901,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
10251100485457,10251100229082,1,11710,10100,0010,0000,117103123023,10101,0,00025,00000,20221108
10251100213566,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20240826
10251100214863,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251107
10251100215964,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250616
10251100215480,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217269,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217257,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100215756,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250307
10251100217262,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100213220,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250312
10251100214980,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251014
10251100217134,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100213736,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212468,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250929
10251100213894,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20240214
10251100216666,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250903
10251100211541,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212101,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250827
10251100217261,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100215182,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217260,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100213657,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250428
10251100215651,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212936,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250525
10251100214371,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20240318
10251100217253,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100215095,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217270,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20240731
10251100212667,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251031
10251100211995,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250307
10251100217266,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212415,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100214046,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251015
10251100215525,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217263,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100216899,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250304
10251100212859,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217256,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217265,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217264,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100211494,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212206,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212760,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217255,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217268,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212519,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250619
10251100212624,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217267,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100213841,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251201
10251100217251,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100214266,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250623
10251100215562,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20231130
10251100217259,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100211638,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251125
10251100211731,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20240119
10251100211837,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250827
10251100211890,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250618
10251100212044,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212257,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250516
10251100213029,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100213134,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250418
