HBDNO,BULD_REGSTR_PK,TOTAL_REGSTR_PK,BULDGB,REGSTRKD,ARCODE,LEGCD,BUN,JI,RDCODE,RDLEGCD,UNDER_AT,BD_MAIN_BUN,BD_SUB_BUN,CRDE
BS0203117101110001730003000000001,102511024,10251106,2,3,11710,11100,0173,0003,117104169458,11101,0,00011,00000,20220813
BS0102117101110000880000000000002,102511036,10251110,1,2,11710,11100,0088,0000,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880000000000003,102511039,10251110,1,2,11710,11100,0088,0000,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880000000000004,102511040,10251110,1,2,11710,11100,0088,0000,117103123023,11104,0,00448,00000,20240619
BS0102117101110001390000000000005,102511048,10251113,1,2,11710,11100,0139,0000,117104169020,11101,0,00011,00000,20220813
BS0203117101110001540009000000006,102511058,10251117,2,3,11710,11100,0154,0009,117104169458,11101,0,00024,00020,20220813
BS0203117101110001710000000000007,102511061,10251118,2,3,11710,11100,0171,0000,117102123002,11101,0,00058,00000,20220813
BS0203117101110002170000000000008,102511065,10251119,2,3,11710,11100,0217,0000,117104169109,11101,0,00020,00000,20220813
BS0203117101110002170000000000009,102511068,10251119,2,3,11710,11100,0217,0000,117102000006,11102,0,01109,00000,20220813
BS0203117101110001270022000000010,102511177,10251156,2,3,11710,11100,0127,0022,117104169016,11101,0,00005,00008,20220813
BS0203117101110001970000000000011,102511337,10251218,2,3,11710,11100,0197,0000,117104169448,11101,0,00025,00000,20220813
BS0102117101110001670000000000012,102511440,10251232,1,2,11710,11100,0167,0000,117104169447,11101,0,00004,00000,20220813
BS0102117101110001670000000000013,102511441,10251232,1,2,11710,11100,0167,0000,117104169447,11101,0,00004,00000,20220813
BS0102117101110000530000000000014,102511469,10251240,1,2,11710,11100,0053,0000,117104169374,11101,0,00064,00000,20230621
BS0102117101110001410006000000015,102511480,10251245,1,2,11710,11100,0141,0006,117104169200,11101,0,00031,00000,20241106
BS0102117101110000880014000000016,102511486,10251248,1,2,11710,11100,0088,0014,117102123001,11102,0,00232,00000,20220813
BS0102117101110000880014000000017,102511491,10251248,1,2,11710,11100,0088,0014,117102123001,11102,0,00232,00000,20220813
BS0102117101110000880014000000018,102511494,10251248,1,2,11710,11100,0088,0014,117102123001,11102,0,00232,00000,20220813
BS0102117101110000880014000000019,102511500,10251248,1,2,11710,11100,0088,0014,117102123001,11102,0,00232,00000,20220813
BS0102117101110000880002000000020,102511981,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880002000000021,102511984,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880002000000022,102511986,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880002000000023,102511987,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880002000000024,102511988,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20230329
BS0102117101110000880002000000025,102511990,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880002000000026,102511991,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880002000000027,102511993,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0102117101110000880002000000028,102511999,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20220813
BS0203117101110001940005000000029,102512033,10251362,2,3,11710,11100,0194,0005,117104169449,11101,0,00018,00000,20220813
BS0102117101110000880015000000030,102512276,10251425,1,2,11710,11100,0088,0015,117102000006,11102,0,01239,00000,20230331
BS0102117101110000880015000000031,102512281,10251425,1,2,11710,11100,0088,0015,117102000006,11102,0,01239,00000,20230331
BS0102117101110000880015000000032,102512282,10251425,1,2,11710,11100,0088,0015,117102000006,11102,0,01239,00000,20250403
BS0102117101110000880015000000033,102512285,10251425,1,2,11710,11100,0088,0015,117102000006,11102,0,01239,00000,20230331
BS0102117101110000890016000000034,102512307,10251434,1,2,11710,11100,0089,0016,117102000006,11102,0,01196,00000,20220813
BS0102117101110000890016000000035,102512308,10251434,1,2,11710,11100,0089,0016,117102000006,11102,0,01196,00000,20220813
BS0102117101110000880003000000036,102512771,10251527,1,2,11710,11100,0088,0003,117103123023,11104,0,00424,00000,20250912
BS0102117101110000880003000000037,102512772,10251527,1,2,11710,11100,0088,0003,117103123023,11104,0,00424,00000,20220813
BS0203117101110000890000000000038,102512796,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000039,102512798,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000040,102512799,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000041,102512801,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000042,102512804,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000043,102512805,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000044,102512806,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000045,102512808,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000046,102512811,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000047,102512812,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000048,102512813,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000049,102512814,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000050,102512815,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000051,102512816,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000052,102512818,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000053,102512820,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000054,102512823,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000055,102512825,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000056,102512828,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000057,102512833,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000058,102512841,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000059,102512843,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000060,102512847,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000061,102512848,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000062,102512849,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000063,102512850,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000064,102512851,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000065,102512852,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000066,102512853,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000067,102512854,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000068,102512859,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000069,102512860,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000070,102512862,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000071,102512865,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000072,102512867,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000073,102512870,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000074,102512874,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000075,102512877,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000076,102512880,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000077,102512885,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000078,102512888,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000079,102512890,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000080,102512896,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000081,102512898,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000082,102512900,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000083,102512903,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000084,102512906,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000085,102512908,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000086,102512909,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000000087,102512912,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110001660014000000088,102512923,10251538,2,3,11710,11100,0166,0014,117104169023,11101,0,00015,00029,20220813
BS0203117101110001720011000000089,102512928,10251540,2,3,11710,11100,0172,0011,117104169384,11101,0,00065,00000,20220813
BS0203117101110002250000000000090,102512933,10251542,2,3,11710,11100,0225,0000,117103123014,11104,0,00251,00000,20250227
BS0203117101110002270001000000091,102512936,10251543,2,3,11710,11100,0227,0001,117103123014,11104,0,00231,00000,20220813
BS0203117101110002270001000000092,102512937,10251543,2,3,11710,11100,0227,0001,117103123014,11104,0,00231,00000,20220813
BS0102117101110000370000000000093,102513153,10251595,1,2,11710,11100,0037,0000,117104169374,11101,0,00021,00020,20220813
BS0102117101110000890022000000094,102513161,10251600,1,2,11710,11100,0089,0022,117102000006,11102,0,01278,00000,20220813
BS0102117101110000890023000000095,102513162,10251601,1,2,11710,11100,0089,0023,117102000006,11102,0,01264,00000,20220813
BS0102117101110000890023000000096,102513163,10251601,1,2,11710,11100,0089,0023,117102000006,11102,0,01264,00000,20220813
BS0102117101110001100012000000097,102513168,10251603,1,2,11710,11100,0110,0012,117104169380,11101,0,00005,00000,20220813
BS0102117101110001280000000000098,102513169,10251604,1,2,11710,11100,0128,0000,117104169387,11101,0,00029,00000,20220813
BS0102117101110001280000000000099,102513170,10251604,1,2,11710,11100,0128,0000,117104169387,11101,0,00029,00000,20220813
BS0102117101110001280000000000100,102513171,10251604,1,2,11710,11100,0128,0000,117104169387,11101,0,00029,00000,20220813
BS0203117101110001940000000000101,102513181,10251609,2,3,11710,11100,0194,0000,117104169449,11101,0,00014,00000,20220813
BS0203117101110002120008000000102,102513182,10251610,2,3,11710,11100,0212,0008,117104169390,11101,0,00028,00000,20220813
BS0203117101110002120008000000103,102513185,10251610,2,3,11710,11100,0212,0008,117104169390,11101,0,00027,00000,20250418
BS0203117101110002120008000000104,102513186,10251610,2,3,11710,11100,0212,0008,117103123004,11101,0,00030,00000,20220813
BS0203117101110002120008000000105,102513188,10251610,2,3,11710,11100,0212,0008,117104169390,11101,0,00027,00000,20220813
BS0203117101110002120008000000106,102513189,10251610,2,3,11710,11100,0212,0008,117104169390,11101,0,00027,00000,20220813
BS0203117101110002120008000000107,102513190,10251610,2,3,11710,11100,0212,0008,117104169390,11101,0,00028,00000,20220813
BS0203117101110001270027000000108,102513464,,2,3,11710,11100,0127,0027,117104169016,11101,0,00007,00001,20220813
BS0203117101110001270012000000109,102513555,,2,3,11710,11100,0127,0012,117104169387,11101,0,00025,00021,20220813
BS0203117101110001850000000000110,102513560,,2,3,11710,11100,0185,0000,117104169372,11101,0,00002,00027,20250827
BS0102117101110002070001000000111,102513629,,1,2,11710,11100,0207,0001,117104169451,11101,0,00031,00014,20250822
BS0203117101110001030010000000112,102513662,,2,3,11710,11100,0103,0010,117104169378,11101,0,00025,00000,20220813
BS0203117101110001700007000000113,102513713,,2,3,11710,11100,0170,0007,117104169459,11101,0,00018,00000,20220813
BS0203117101110001310016000000114,102513740,,2,3,11710,11100,0131,0016,117104169017,11101,0,00015,00009,20220813
BS0102117101110001350005000000115,102513742,,1,2,11710,11100,0135,0005,117103123001,11103,0,00248,00000,20241107
