총괄표제부_PK,대장구분코드,시군구코드,법정동코드,번,지,건물명,대지위치,도로명대지위치,주용도코드,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,호수(호),총주차수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,연면적(㎡),대지면적(㎡),건축면적(㎡),용적률산정연면적(㎡),건폐율(%),용적률(%),사용승인일,생성일자
10251100229082,1,11710,10100,0010,0000,,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),13000,운동시설,0,2,10,0,0,0,117103123023,10101,0,00025,00000,226310.31,449596.5,83216.5,177959.71,18.51,39.58,,20250519
10251100211493,2,11710,10100,0019,0000,잠실엘스,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),02000,공동주택 외 2,5678,0,72,23,0,7712,117103123023,10101,0,00099,00000,969380.41,231604.7,38028.15,639213.43,16.41,275.99,20080930,20220813
10251100181274,2,11710,10100,0022,0000,리센츠,서울특별시 송파구 잠실동 22번지,서울특별시 송파구 올림픽로 135 (잠실동),02000,공동주택 외 2,5562,0,65,29,6,7876,117103123023,10101,0,00135,00000,935030.72,219217.9,33257.95,603406.17,15.17,275.25,20080731,20220813
10251100180867,1,11710,10100,0022,0001,잠신중학교,서울특별시 송파구 잠실동 22-1번지,서울특별시 송파구 잠실로 12 (잠실동),10000,교육연구시설,0,0,3,1,0,0,117103123015,10101,0,00012,00000,11962.55,16585.2,4437.53,11937.8,26.755963,71.978631,,20220813
10251416,1,11710,10100,0022,0002,잠신고등학교,서울특별시 송파구 잠실동 22-2번지,서울특별시 송파구 잠실로 24 (잠실동),10000,교육연구시설,0,0,3,5,0,68,117103123015,10101,0,00024,00000,13746.42,18219.4,4015.29,13674.42,22.03,75.05,,20250716
10251300,2,11710,10100,0027,0000,,서울특별시 송파구 잠실동 27번지,서울특별시 송파구 송파대로 567 (잠실동),02000,공동주택,3930,0,31,0,0,0,117102005011,10101,0,00567,00000,451776.28,0,0,0,0,0,,20220813
10251122,1,11710,10100,0027,0005,,서울특별시 송파구 잠실동 27-5번지,서울특별시 송파구 올림픽로 215 (잠실동),10000,교육연구및복지시설,0,0,2,6,0,0,117103123023,10101,0,00215,00000,7753.53,0,0,0,0,0,,20220813
10251440,2,11710,10100,0035,0000,트리지움,서울특별시 송파구 잠실동 35번지,서울특별시 송파구 잠실로 62 (잠실동),02000,공동주택외 3,3696,0,46,8,0,4900,117103123015,10101,0,00062,00000,624434.11,157005.7,22624.79,431370.19,14.41,274.75,20070824,20220813
10251100190598,1,11710,10100,0040,0001,롯데월드,서울특별시 송파구 잠실동 40-1번지,서울특별시 송파구 올림픽로 240 (잠실동),15000,숙박시설(판매|위락|문화및집회|운동등),0,0,8,0,0,3559,117103123023,10101,0,00240,00000,585428,128246.2,76940.47,318937.98,59.9943,248.692,19890626,20250519
10251418,2,11710,10100,0044,0000,레이크팰리스,서울특별시 송파구 잠실동 44번지,서울특별시 송파구 석촌호수로 169 (잠실동),02000,공동주택(아파트)|제1.2종근린생활시설,2678,0,35,14,0,4113,117103123009,10101,0,00169,00000,506900.68,126628.8,17841.76,346045.78,14.09,273.27,20061228,20220813
10251426,1,11710,10100,0044,0002,서울송전초등학교,서울특별시 송파구 잠실동 44-2번지,서울특별시 송파구 석촌호수로 159 (잠실동),10000,교육연구시설(초등학교),0,0,2,1,0,0,117103123009,10101,0,00159,00000,9707.88,10613,2483.12,9413.33,23.4,88.7,20070209,20220813
10251294,1,11710,10100,0047,0000,,서울특별시 송파구 잠실동 47번지,서울특별시 송파구 삼학사로 136 (잠실동),27000,관광휴게시설,0,0,31,0,0,0,117103123008,10101,0,00136,00000,21866.48,285757,0,0,0,0,,20250611
1025140,1,11710,10100,0050,0004,,서울특별시 송파구 잠실동 50-4번지,서울특별시 송파구 올림픽로4길 16 (잠실동),10000,교육연구및복지시설,0,0,6,0,0,180,117104169439,10101,0,00016,00000,39345.17,42930.6,9406.53,33932.8,21.91,79.04,,20250612
1025114,2,11710,10100,0086,0000,,서울특별시 송파구 잠실동 86번지,서울특별시 송파구 올림픽로4길 15 (잠실동),02000,공동주택,1356,0,18,18,0,0,117104169439,10101,0,00015,00000,227115.961,0,0,0,0,0,,20220813
