관리건축물대장PK,시군구코드,법정동코드,번,지,대장구분코드,대지위치,도로명대지위치,건물명,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,대지면적(㎡),공급면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,기타용도,세대수(세대),가구수(가구),지상층수,지하층수,건물_수,호수(호),승용승강기수,비상용승강기수,사용승인일,생성일자
10251100193122,11710,10100,0001,0000,1,서울특별시 송파구 잠실동 1번지,서울특별시 송파구 한가람로 65 (잠실동),한강공원잠실안내센터,117103123020,10101,0,00065,00000,,284992.4,0.0,258.13,0.09,567.77,567.77,0.2,03000,제1종근린생활시설(공원관리소),0,0,3,1,0,0,0,0,,20220813
1025114628,11710,10100,0003,0000,1,서울특별시 송파구 잠실동 3번지,,,000000000000,00000,0,00000,00000,,0,0.0,0,0,9.92,0,0,01000,주택,0,1,1,0,0,0,0,0,        ,20220813
1025122767,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),학생체육관,117103123023,10101,0,00025,00000,,0,0.0,0,0,11471.12,0,0,13000,운동시설,0,0,3,1,0,0,0,0,19840118,20221108
102511072,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실실내체육관,117103123023,10101,0,00025,00000,,0,0.0,0,0,26278.49,0,0,13000,실내체육관,0,0,3,1,0,0,0,0,19790530,20250519
102511900,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실제2수영장,117103123023,10101,0,00025,00000,,0,0.0,3042.45,0,4631.87,3838.85,0,13000,실내수영장,0,0,2,1,0,0,0,0,19791110,20221108
102511071,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실주경기장,117103123023,10101,0,00025,00000,,402815.9,0.0,34333.18,20,100151.5,741113.98,38.6,13000,운동시설,0,0,3,1,0,0,2,0,19840929,20221108
102511073,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),종합운동장119안전센터,117103123023,10101,0,00025,00000,,0,0.0,0,0,419.1,0,0,03000,소방관파출소,0,0,1,0,0,0,0,0,19850823,20221108
10251100485457,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),고압가스충전소,117103123023,10101,0,00025,00000,,0,0.0,0,0,21.2,0,0,19000,고압가스충전소,0,0,0,1,0,0,0,0,20160907,20221108
102511880,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실야구장,117103123023,10101,0,00025,00000,,0,0.0,0,0,59229.75,0,0,05000,"운동장,야구장",0,0,3,1,0,0,0,0,19820828,20221108
102511899,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),체조관,117103123023,10101,0,00025,00000,,0,0.0,0,0,1487.94,0,0,05000,체조관,0,0,2,1,0,0,0,0,19730825,20221108
102511881,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실제1수영장,117103123023,10101,0,00025,00000,,0,0.0,0,0,22479.34,0,0,13000,실내수영장,0,0,3,1,0,0,0,0,19801230,20221108
102511901,11710,10100,0010,0000,1,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),2호,117103123023,10101,0,00025,00000,,0,0.0,0,0,140,0,0,03000,근린공공시설,0,0,1,0,0,0,0,0,19860430,20221108
10251100216773,11710,10100,0019,0000,2,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,117103123023,10101,0,00099,00000,155동,0,0.0,577.64,0,9784.86,9784.86,0,02000,아파트,88,0,22,0,0,0,0,2,20080930,20220813
10251100213894,11710,10100,0019,0000,2,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,117103123023,10101,0,00099,00000,120동,0,0.0,566.76,0,11177.02,11177.02,0,02000,아파트,100,0,26,0,0,0,0,2,20080930,20220813
