RDADDRCD,ARCODE,ARNAME_1,ARNAME_2,ARNAME_3,ARNAME_4,LAND_AT,JIBUNB,JIBUNJ,RDCODE,UNDER_AT,BD_MAIN_BUN,BD_SUB_BUN,JIBUNSEQ,MV_RESN_CD
111102005001000149000000000001114,1111012000,서울특별시,종로구,신문로1가,,0,0150,0000,111102005001,0,00149,00000,0000001114,
111102005001000149000000000010238,1114010300,서울특별시,중구,태평로1가,,0,0068,0000,111102005001,0,00149,00000,0000010238,
111102005001000152000000000001072,1111011900,서울특별시,종로구,세종로,,0,0139,0005,111102005001,0,00152,00000,0000001072,
111102005001000152000000000001073,1111012300,서울특별시,종로구,서린동,,0,0159,0003,111102005001,0,00152,00000,0000001073,
111102005001000152000000000001074,1111012300,서울특별시,종로구,서린동,,0,0162,0002,111102005001,0,00152,00000,0000001074,
111102005001000163000000000001076,1111011900,서울특별시,종로구,세종로,,0,0167,0000,111102005001,0,00163,00000,0000001076,
111102005001000163000000000001077,1111011900,서울특별시,종로구,세종로,,0,0167,0004,111102005001,0,00163,00000,0000001077,
111102005001000163000000000001078,1111011900,서울특별시,종로구,세종로,,0,0168,0000,111102005001,0,00163,00000,0000001078,
111102005001000163000000000001079,1111011900,서울특별시,종로구,세종로,,0,0169,0000,111102005001,0,00163,00000,0000001079,
111102005001000163000000000001080,1111011900,서울특별시,종로구,세종로,,0,0170,0000,111102005001,0,00163,00000,0000001080,
111102005001000163000000000001081,1111011900,서울특별시,종로구,세종로,,0,0171,0000,111102005001,0,00163,00000,0000001081,
111102005001000163000000000001082,1111011900,서울특별시,종로구,세종로,,0,0175,0001,111102005001,0,00163,00000,0000001082,
111102005001000163000000000001083,1111011900,서울특별시,종로구,세종로,,0,0176,0000,111102005001,0,00163,00000,0000001083,
111102005001000163000000000001084,1111011900,서울특별시,종로구,세종로,,0,0178,0000,111102005001,0,00163,00000,0000001084,
111102005001000163000000000001085,1111011900,서울특별시,종로구,세종로,,0,0182,0001,111102005001,0,00163,00000,0000001085,
111102005001000163000000000001086,1111011900,서울특별시,종로구,세종로,,0,0182,0002,111102005001,0,00163,00000,0000001086,
111102005001000163000000000001087,1111011900,서울특별시,종로구,세종로,,0,0183,0002,111102005001,0,00163,00000,0000001087,
111102005001000163000000000001088,1111011900,서울특별시,종로구,세종로,,0,0185,0003,111102005001,0,00163,00000,0000001088,
111102005001000169000000000001075,1111011900,서울특별시,종로구,세종로,,0,0157,0004,111102005001,0,00169,00000,0000001075,
111102005001100172000000000001021,1111011900,서울특별시,종로구,세종로,,0,0001,0090,111102005001,1,00172,00000,0000001021,
111102005001100172000000000001022,1111011900,서울특별시,종로구,세종로,,0,0081,0013,111102005001,1,00172,00000,0000001022,
111102005001100172000000000001023,1111011900,서울특별시,종로구,세종로,,0,0084,0012,111102005001,1,00172,00000,0000001023,
111102005001100172000000000001024,1111011900,서울특별시,종로구,세종로,,0,0100,0001,111102005001,1,00172,00000,0000001024,
111102005001100172000000000001025,1111011900,서울특별시,종로구,세종로,,0,0151,0001,111102005001,1,00172,00000,0000001025,
111102005001100172000000000001026,1111011900,서울특별시,종로구,세종로,,0,0158,0001,111102005001,1,00172,00000,0000001026,
111102005001100172000000000001027,1111011900,서울특별시,종로구,세종로,,0,0160,0001,111102005001,1,00172,00000,0000001027,
111102005001000175000000000010187,1111011900,서울특별시,종로구,세종로,,0,0001,0068,111102005001,0,00175,00000,0000010187,
111102005001000175000000000010188,1111011900,서울특별시,종로구,세종로,,0,0001,0069,111102005001,0,00175,00000,0000010188,
111102005001000175000000000010189,1111011900,서울특별시,종로구,세종로,,0,0001,0073,111102005001,0,00175,00000,0000010189,
111102005001000175000000000010190,1111011900,서울특별시,종로구,세종로,,0,0081,0002,111102005001,0,00175,00000,0000010190,
111102005001000175000000000010191,1111011900,서울특별시,종로구,세종로,,0,0084,0008,111102005001,0,00175,00000,0000010191,
111102005001100175000000000001048,1111011900,서울특별시,종로구,세종로,,0,0081,0002,111102005001,1,00175,00000,0000001048,
111102005001100175000000000001049,1111011900,서울특별시,종로구,세종로,,0,0084,0008,111102005001,1,00175,00000,0000001049,
111102005001100175000000000001050,1111011900,서울특별시,종로구,세종로,,0,0001,0068,111102005001,1,00175,00000,0000001050,
111102005001100175000000000001051,1111011900,서울특별시,종로구,세종로,,0,0001,0069,111102005001,1,00175,00000,0000001051,
111102005001100175000000000001052,1111011900,서울특별시,종로구,세종로,,0,0001,0073,111102005001,1,00175,00000,0000001052,
111102005001000209000000000016520,1111010700,서울특별시,종로구,적선동,,0,0051,0001,111102005001,0,00209,00000,0000016520,
111102100001000382000000000001992,1111013500,서울특별시,종로구,관철동,,0,0005,0012,111102100001,0,00382,00000,0000001992,
111102100001000385000000000001993,1111013500,서울특별시,종로구,관철동,,0,0007,0015,111102100001,0,00385,00000,0000001993,
111102100001000388000000000002006,1111013500,서울특별시,종로구,관철동,,0,0028,0003,111102100001,0,00388,00000,0000002006,
111102100001000390000000000001990,1111013500,서울특별시,종로구,관철동,,0,0020,0000,111102100001,0,00390,00000,0000001990,
111102100001000391000000000001994,1111013500,서울특별시,종로구,관철동,,0,0007,0025,111102100001,0,00391,00000,0000001994,
111102100001000395000000000002360,1111013500,서울특별시,종로구,관철동,,0,0006,0001,111102100001,0,00395,00000,0000002360,
111102100001000395000000000002361,1111013500,서울특별시,종로구,관철동,,0,0006,0009,111102100001,0,00395,00000,0000002361,
111102100001000401000160000011062,1111013600,서울특별시,종로구,인사동,,0,0085,0000,111102100001,0,00401,00016,0000011062,
111102100001000424000000000002310,1111013700,서울특별시,종로구,낙원동,,0,0243,0001,111102100001,0,00424,00000,0000002310,
111102100001000425000000000002308,1111013700,서울특별시,종로구,낙원동,,0,0284,0042,111102100001,0,00425,00000,0000002308,
111102100001000426000000000002241,1111013700,서울특별시,종로구,낙원동,,0,0244,0001,111102100001,0,00426,00000,0000002241,
111102100001000426000000000002242,1111013700,서울특별시,종로구,낙원동,,0,0243,0001,111102100001,0,00426,00000,0000002242,
111102100001000428000000000002243,1111013700,서울특별시,종로구,낙원동,,0,0238,0002,111102100001,0,00428,00000,0000002243,
111102100001000428000000000002244,1111013700,서울특별시,종로구,낙원동,,0,0238,0000,111102100001,0,00428,00000,0000002244,
111102100001000428000000000002245,1111013700,서울특별시,종로구,낙원동,,0,0239,0000,111102100001,0,00428,00000,0000002245,
111102100001000428000000000002246,1111013700,서울특별시,종로구,낙원동,,0,0239,0001,111102100001,0,00428,00000,0000002246,
111102100001000428000000000002247,1111013700,서울특별시,종로구,낙원동,,0,0240,0000,111102100001,0,00428,00000,0000002247,
111102100001000428000000000002248,1111013700,서울특별시,종로구,낙원동,,0,0241,0001,111102100001,0,00428,00000,0000002248,
111102100001000428000000000002249,1111013700,서울특별시,종로구,낙원동,,0,0241,0002,111102100001,0,00428,00000,0000002249,
111102100001000428000000000002250,1111013700,서울특별시,종로구,낙원동,,0,0241,0003,111102100001,0,00428,00000,0000002250,
111102100001000428000000000002251,1111013700,서울특별시,종로구,낙원동,,0,0241,0005,111102100001,0,00428,00000,0000002251,
111102100001000428000000000002252,1111013700,서울특별시,종로구,낙원동,,0,0243,0001,111102100001,0,00428,00000,0000002252,
111102100001000428000000000002253,1111013700,서울특별시,종로구,낙원동,,0,0245,0000,111102100001,0,00428,00000,0000002253,
111102100001000428000000000002254,1111013700,서울특별시,종로구,낙원동,,0,0246,0000,111102100001,0,00428,00000,0000002254,
111102100001000428000000000002255,1111013700,서울특별시,종로구,낙원동,,0,0247,0000,111102100001,0,00428,00000,0000002255,
111102100001000428000000000002256,1111013700,서울특별시,종로구,낙원동,,0,0248,0000,111102100001,0,00428,00000,0000002256,
111102100001000428000000000002257,1111013700,서울특별시,종로구,낙원동,,0,0249,0000,111102100001,0,00428,00000,0000002257,
111102100001000428000000000002258,1111013700,서울특별시,종로구,낙원동,,0,0250,0000,111102100001,0,00428,00000,0000002258,
111102100001000428000000000002259,1111013700,서울특별시,종로구,낙원동,,0,0251,0000,111102100001,0,00428,00000,0000002259,
111102100001000428000000000002260,1111013700,서울특별시,종로구,낙원동,,0,0252,0000,111102100001,0,00428,00000,0000002260,
111102100001000428000000000002261,1111013700,서울특별시,종로구,낙원동,,0,0253,0001,111102100001,0,00428,00000,0000002261,
111102100001000428000000000002262,1111013700,서울특별시,종로구,낙원동,,0,0253,0002,111102100001,0,00428,00000,0000002262,
111102100001000428000000000002263,1111013700,서울특별시,종로구,낙원동,,0,0254,0001,111102100001,0,00428,00000,0000002263,
111102100001000428000000000002264,1111013700,서울특별시,종로구,낙원동,,0,0254,0002,111102100001,0,00428,00000,0000002264,
111102100001000428000000000002265,1111013700,서울특별시,종로구,낙원동,,0,0254,0003,111102100001,0,00428,00000,0000002265,
111102100001000428000000000002266,1111013700,서울특별시,종로구,낙원동,,0,0255,0001,111102100001,0,00428,00000,0000002266,
111102100001000428000000000002267,1111013700,서울특별시,종로구,낙원동,,0,0255,0002,111102100001,0,00428,00000,0000002267,
111102100001000428000000000002268,1111013700,서울특별시,종로구,낙원동,,0,0256,0000,111102100001,0,00428,00000,0000002268,
111102100001000428000000000002269,1111013700,서울특별시,종로구,낙원동,,0,0257,0000,111102100001,0,00428,00000,0000002269,
111102100001000428000000000002270,1111013700,서울특별시,종로구,낙원동,,0,0258,0000,111102100001,0,00428,00000,0000002270,
111102100001000428000000000002271,1111013700,서울특별시,종로구,낙원동,,0,0259,0000,111102100001,0,00428,00000,0000002271,
111102100001000428000000000002272,1111013700,서울특별시,종로구,낙원동,,0,0262,0000,111102100001,0,00428,00000,0000002272,
111102100001000428000000000002273,1111013700,서울특별시,종로구,낙원동,,0,0263,0000,111102100001,0,00428,00000,0000002273,
111102100001000428000000000002274,1111013700,서울특별시,종로구,낙원동,,0,0264,0000,111102100001,0,00428,00000,0000002274,
111102100001000428000000000002275,1111013700,서울특별시,종로구,낙원동,,0,0266,0000,111102100001,0,00428,00000,0000002275,
111102100001000428000000000002276,1111013700,서울특별시,종로구,낙원동,,0,0266,0001,111102100001,0,00428,00000,0000002276,
111102100001000428000000000002277,1111013700,서울특별시,종로구,낙원동,,0,0267,0000,111102100001,0,00428,00000,0000002277,
111102100001000428000000000002278,1111013700,서울특별시,종로구,낙원동,,0,0268,0000,111102100001,0,00428,00000,0000002278,
111102100001000428000000000002279,1111013700,서울특별시,종로구,낙원동,,0,0272,0000,111102100001,0,00428,00000,0000002279,
111102100001000428000000000002280,1111013700,서울특별시,종로구,낙원동,,0,0273,0002,111102100001,0,00428,00000,0000002280,
111102100001000428000000000002281,1111013700,서울특별시,종로구,낙원동,,0,0274,0000,111102100001,0,00428,00000,0000002281,
111102100001000428000000000002282,1111013700,서울특별시,종로구,낙원동,,0,0275,0000,111102100001,0,00428,00000,0000002282,
111102100001000428000000000002283,1111013700,서울특별시,종로구,낙원동,,0,0276,0000,111102100001,0,00428,00000,0000002283,
111102100001000428000000000002284,1111013700,서울특별시,종로구,낙원동,,0,0277,0002,111102100001,0,00428,00000,0000002284,
111102100001000428000000000002285,1111013700,서울특별시,종로구,낙원동,,0,0279,0003,111102100001,0,00428,00000,0000002285,
111102100001000428000000000002286,1111013700,서울특별시,종로구,낙원동,,0,0284,0001,111102100001,0,00428,00000,0000002286,
111102100001000428000000000002287,1111013700,서울특별시,종로구,낙원동,,0,0284,0002,111102100001,0,00428,00000,0000002287,
111102100001000428000000000002288,1111013700,서울특별시,종로구,낙원동,,0,0284,0003,111102100001,0,00428,00000,0000002288,
111102100001000428000000000002289,1111013700,서울특별시,종로구,낙원동,,0,0284,0005,111102100001,0,00428,00000,0000002289,
111102100001000428000000000002290,1111013700,서울특별시,종로구,낙원동,,0,0284,0006,111102100001,0,00428,00000,0000002290,
111102100001000428000000000002291,1111013700,서울특별시,종로구,낙원동,,0,0284,0007,111102100001,0,00428,00000,0000002291,
111102100001000428000000000002292,1111013700,서울특별시,종로구,낙원동,,0,0284,0009,111102100001,0,00428,00000,0000002292,
111102100001000428000000000002293,1111013700,서울특별시,종로구,낙원동,,0,0284,0010,111102100001,0,00428,00000,0000002293,
111102100001000428000000000002294,1111013700,서울특별시,종로구,낙원동,,0,0284,0011,111102100001,0,00428,00000,0000002294,
111102100001000428000000000002295,1111013700,서울특별시,종로구,낙원동,,0,0284,0031,111102100001,0,00428,00000,0000002295,
111102100001000428000000000002296,1111013700,서울특별시,종로구,낙원동,,0,0284,0040,111102100001,0,00428,00000,0000002296,
111102100001000428000000000002297,1111013700,서울특별시,종로구,낙원동,,0,0285,0000,111102100001,0,00428,00000,0000002297,
111102100001000428000000000002298,1111013700,서울특별시,종로구,낙원동,,0,0286,0002,111102100001,0,00428,00000,0000002298,
111102100001000428000000000002299,1111013700,서울특별시,종로구,낙원동,,0,0289,0000,111102100001,0,00428,00000,0000002299,
111102100001000428000000000002300,1111013700,서울특별시,종로구,낙원동,,0,0292,0000,111102100001,0,00428,00000,0000002300,
111102100001000428000000000002301,1111013700,서울특별시,종로구,낙원동,,0,0293,0001,111102100001,0,00428,00000,0000002301,
111102100001000428000000000002302,1111013700,서울특별시,종로구,낙원동,,0,0293,0002,111102100001,0,00428,00000,0000002302,
111102100001000428000000000002303,1111013700,서울특별시,종로구,낙원동,,0,0294,0000,111102100001,0,00428,00000,0000002303,
111102100001000428000000000002304,1111013700,서울특별시,종로구,낙원동,,0,0295,0000,111102100001,0,00428,00000,0000002304,
111102100001000428000000000002305,1111013700,서울특별시,종로구,낙원동,,0,0296,0000,111102100001,0,00428,00000,0000002305,
111102100001000440000000000018443,1111013700,서울특별시,종로구,낙원동,,0,0008,0000,111102100001,0,00440,00000,0000018443,
111102100001000444000000000011064,1111013700,서울특별시,종로구,낙원동,,0,0003,0000,111102100001,0,00444,00000,0000011064,
111102100001000445000060000001826,1111013400,서울특별시,종로구,경운동,,0,0064,0024,111102100001,0,00445,00006,0000001826,
111102100001000445000060000001827,1111013400,서울특별시,종로구,경운동,,0,0064,0027,111102100001,0,00445,00006,0000001827,
111102100001000445000060000001828,1111013400,서울특별시,종로구,경운동,,0,0064,0030,111102100001,0,00445,00006,0000001828,
111102100001000445000060000001829,1111013400,서울특별시,종로구,경운동,,0,0064,0031,111102100001,0,00445,00006,0000001829,
111102100001000445000080000001822,1111013400,서울특별시,종로구,경운동,,0,0064,0024,111102100001,0,00445,00008,0000001822,
111102100001000445000080000001823,1111013400,서울특별시,종로구,경운동,,0,0064,0027,111102100001,0,00445,00008,0000001823,
111102100001000445000080000001824,1111013400,서울특별시,종로구,경운동,,0,0064,0030,111102100001,0,00445,00008,0000001824,
111102100001000445000080000001825,1111013400,서울특별시,종로구,경운동,,0,0064,0031,111102100001,0,00445,00008,0000001825,
111102100001000445000100000001790,1111013400,서울특별시,종로구,경운동,,0,0064,0024,111102100001,0,00445,00010,0000001790,
111102100001000445000100000001791,1111013400,서울특별시,종로구,경운동,,0,0064,0027,111102100001,0,00445,00010,0000001791,
111102100001000445000100000001792,1111013400,서울특별시,종로구,경운동,,0,0064,0030,111102100001,0,00445,00010,0000001792,
111102100001000445000100000001793,1111013400,서울특별시,종로구,경운동,,0,0064,0031,111102100001,0,00445,00010,0000001793,
111102100001000445000120000001768,1111013400,서울특별시,종로구,경운동,,0,0064,0024,111102100001,0,00445,00012,0000001768,
111102100001000445000120000001769,1111013400,서울특별시,종로구,경운동,,0,0064,0027,111102100001,0,00445,00012,0000001769,
111102100001000445000120000001770,1111013400,서울특별시,종로구,경운동,,0,0064,0030,111102100001,0,00445,00012,0000001770,
111102100001000445000120000001771,1111013400,서울특별시,종로구,경운동,,0,0064,0031,111102100001,0,00445,00012,0000001771,
111102100001000445000240000001857,1111013400,서울특별시,종로구,경운동,,0,0064,0028,111102100001,0,00445,00024,0000001857,
111102100001000445000240000001858,1111013400,서울특별시,종로구,경운동,,0,0064,0029,111102100001,0,00445,00024,0000001858,
111102100001000445000240000001859,1111013400,서울특별시,종로구,경운동,,0,0064,0034,111102100001,0,00445,00024,0000001859,
111102100001000445000240000001860,1111013400,서울특별시,종로구,경운동,,0,0064,0036,111102100001,0,00445,00024,0000001860,
111102100001000445000240000001861,1111013400,서울특별시,종로구,경운동,,0,0064,0037,111102100001,0,00445,00024,0000001861,
111102100001000445000240000001862,1111013400,서울특별시,종로구,경운동,,0,0064,0038,111102100001,0,00445,00024,0000001862,
111102100001000445000240000001863,1111013400,서울특별시,종로구,경운동,,0,0064,0039,111102100001,0,00445,00024,0000001863,
111102100001000445000240000001864,1111013400,서울특별시,종로구,경운동,,0,0064,0040,111102100001,0,00445,00024,0000001864,
111102100001000445000240000001865,1111013400,서울특별시,종로구,경운동,,0,0064,0041,111102100001,0,00445,00024,0000001865,
111102100001000445000240000001866,1111013400,서울특별시,종로구,경운동,,0,0064,0042,111102100001,0,00445,00024,0000001866,
111102100001000445000240000001867,1111013400,서울특별시,종로구,경운동,,0,0064,0043,111102100001,0,00445,00024,0000001867,
111102100001000445000240000001868,1111013400,서울특별시,종로구,경운동,,0,0064,0044,111102100001,0,00445,00024,0000001868,
111102100001000445000240000001869,1111013400,서울특별시,종로구,경운동,,0,0064,0045,111102100001,0,00445,00024,0000001869,
111102100001000445000240000001870,1111013400,서울특별시,종로구,경운동,,0,0064,0046,111102100001,0,00445,00024,0000001870,
111102100001000446000000000016313,1111013400,서울특별시,종로구,경운동,,0,0002,0003,111102100001,0,00446,00000,0000016313,
111102100001000446000000000016314,1111013400,서울특별시,종로구,경운동,,0,0002,0004,111102100001,0,00446,00000,0000016314,
111102100001000446000000000016315,1111013400,서울특별시,종로구,경운동,,0,0002,0009,111102100001,0,00446,00000,0000016315,
111102100001000446000000000016316,1111013400,서울특별시,종로구,경운동,,0,0002,0010,111102100001,0,00446,00000,0000016316,
111102100001000446000060000015608,1111013700,서울특별시,종로구,낙원동,,0,0014,0000,111102100001,0,00446,00006,0000015608,
111102100001000446000340000018523,1111013700,서울특별시,종로구,낙원동,,0,0016,0000,111102100001,0,00446,00034,0000018523,
111102100001000446000340000018524,1111013700,서울특별시,종로구,낙원동,,0,0017,0001,111102100001,0,00446,00034,0000018524,
111102100001000447000000000001761,1111013400,서울특별시,종로구,경운동,,0,0063,0004,111102100001,0,00447,00000,0000001761,
111102100001000451000000000001964,1111013400,서울특별시,종로구,경운동,,0,0062,0009,111102100001,0,00451,00000,0000001964,
111102100001000451000000000001965,1111013400,서울특별시,종로구,경운동,,0,0063,0001,111102100001,0,00451,00000,0000001965,
111102100001000451000000000001966,1111013400,서울특별시,종로구,경운동,,0,0063,0013,111102100001,0,00451,00000,0000001966,
111102100001000451000000000001967,1111013400,서울특별시,종로구,경운동,,0,0071,0004,111102100001,0,00451,00000,0000001967,
111102100001000454000000000015864,1111013400,서울특별시,종로구,경운동,,0,0002,0003,111102100001,0,00454,00000,0000015864,
111102100001000454000000000015865,1111013400,서울특별시,종로구,경운동,,0,0002,0004,111102100001,0,00454,00000,0000015865,
111102100001000454000000000015866,1111013400,서울특별시,종로구,경운동,,0,0002,0009,111102100001,0,00454,00000,0000015866,
111102100001000460000000000011065,1111013200,서울특별시,종로구,운니동,,0,0098,0003,111102100001,0,00460,00000,0000011065,
111102100001000460000000000011066,1111013200,서울특별시,종로구,운니동,,0,0098,0050,111102100001,0,00460,00000,0000011066,
111102100001000461000000000019423,1111012800,서울특별시,종로구,관훈동,,0,0085,0000,111102100001,0,00461,00000,0000019423,
111102100001000464000000000001694,1111013200,서울특별시,종로구,운니동,,0,0114,0007,111102100001,0,00464,00000,0000001694,
111102100001000467000000000001974,1111013400,서울특별시,종로구,경운동,,0,0091,0006,111102100001,0,00467,00000,0000001974,
111102100001000472000000000001714,1111013200,서울특별시,종로구,운니동,,0,0114,0031,111102100001,0,00472,00000,0000001714,
111102100002000003000000000015841,1111011300,서울특별시,종로구,필운동,,0,0138,0000,111102100002,0,00003,00000,0000015841,
111102100002000004000000000000851,1111011300,서울특별시,종로구,필운동,,0,0144,0003,111102100002,0,00004,00000,0000000851,
111102100002000009000020000000837,1111011300,서울특별시,종로구,필운동,,0,0108,0001,111102100002,0,00009,00002,0000000837,
111102100002000009000020000000838,1111011300,서울특별시,종로구,필운동,,0,0108,0002,111102100002,0,00009,00002,0000000838,
111102100002000009000020000000839,1111011300,서울특별시,종로구,필운동,,0,0108,0004,111102100002,0,00009,00002,0000000839,
111102100002000015000000000000834,1111011300,서울특별시,종로구,필운동,,0,0098,0000,111102100002,0,00015,00000,0000000834,
111102100002000015000000000000835,1111011300,서울특별시,종로구,필운동,,0,0100,0000,111102100002,0,00015,00000,0000000835,
111102100002000015000000000000836,1111011300,서울특별시,종로구,필운동,,0,0085,0001,111102100002,0,00015,00000,0000000836,
111102100002000015000030000000833,1111011300,서울특별시,종로구,필운동,,0,0085,0000,111102100002,0,00015,00003,0000000833,
111102100002000016000000000000852,1111011300,서울특별시,종로구,필운동,,0,0167,0001,111102100002,0,00016,00000,0000000852,
111102100002000023000000000016373,1111011000,서울특별시,종로구,누하동,,0,0251,0001,111102100002,0,00023,00000,0000016373,
111102100002000023000000000016374,1111011000,서울특별시,종로구,누하동,,0,0253,0000,111102100002,0,00023,00000,0000016374,
111102100002000023000000000016375,1111011000,서울특별시,종로구,누하동,,0,0254,0000,111102100002,0,00023,00000,0000016375,
111102100002000023000000000016376,1111011300,서울특별시,종로구,필운동,,0,0089,0000,111102100002,0,00023,00000,0000016376,
111102100002000030000000000000622,1111011000,서울특별시,종로구,누하동,,0,0232,0000,111102100002,0,00030,00000,0000000622,
111102100002000030000000000000623,1111011000,서울특별시,종로구,누하동,,0,0228,0004,111102100002,0,00030,00000,0000000623,
111102100002000034000000000000615,1111011000,서울특별시,종로구,누하동,,0,0186,0001,111102100002,0,00034,00000,0000000615,
111102100002000034000090000000620,1111011000,서울특별시,종로구,누하동,,0,0200,0002,111102100002,0,00034,00009,0000000620,
